hani	latn
炂	tyog
𦬘	tyog
𨳗	tyog
鈆	tyog
龍	lyog
𪚝	lyog
躘	lyog
鸗	lyog
驡	lyog
𪚠	lyog
籠	lyog
𦪽	lyog
蘢	lyog
舂	šyog
𧐍	šyog
摏	šyog
蹖	šyog
𪄻	šyog
憃	šyog
松	zyog
㮤	zyog
淞	zyog
訟	zyog
𧘂	ŧyog
衝	ŧyog
罿	ŧyog
憧	ŧyog
䡴	ŧyog
艟	ŧyog
潼	ŧyog
褈	ŧyog
𠟍	ŧyog
𠝤	ŧyog
䂌	ŧyog
容	jyog
溶	jyog
滽	jyog
庸	jyog
𦤘	jyog
𧴄	jyog
㺎	jyog
𤛑	jyog
墉	jyog
鎔	jyog
鏞	jyog
銿	jyog
鄘	jyog
傭	jyog
𪅟	jyog
㼸	jyog
𤮇	jyog
鱅	jyog
蓉	jyog
䗤	jyog
傛	jyog
褣	jyog
搈	jyog
瑢	jyog
䈶	jyog
嵱	jyog
頌	jyog
㝐	jyog
䡆	jyog
㟾	jyog
𨲟	jyog
𪃾	jyog
槦	jyog
㣑	jyog
𢧳	jyog
封	pyog
𡉚	pyog
犎	pyog
葑	pyog
崶	pyog
胷	xyog
凶	xyog
𣧑	xyog
銎	xyog
洶	xyog
恟	xyog
𧧗	xyog
兇	xyog
訩	xyog
匈	xyog
顒	gyog
𩤛	gyog
鰅	gyog
喁	gyog
邕	qyog
雍	qyog
噰	qyog
嗈	qyog
郺	qyog
澭	qyog
灉	qyog
癰	qyog
罋	qyog
廱	qyog
饔	qyog
壅	qyog
雝	qyog
𪄉	qyog
㻾	qyog
𧴗	qyog
醲	nryog
𨑊	nryog
濃	nryog
襛	nryog
穠	nryog
檂	nryog
𪒬	nryog
𨲳	nryog
重	dryog
穜	dryog
緟	dryog
褈	dryog
䳯	dryog
蝩	dryog
從	d̦yog
从	d̦yog
𩀰	d̦yog
蹱	ŧryog
傭	ŧryog
𦟛	ŧryog
𨙦	ŧryog
䝑	ŧryog
𨤩	ŧryog
𪒒	ŧryog
逢	byog
縫	byog
漨	byog
䩼	byog
𥎌	byog
夆	byog
𥛝	byog
捀	byog
峯	ꝑyog
鋒	ꝑyog
丰	ꝑyog
𡴀	ꝑyog
𢓱	ꝑyog
妦	ꝑyog
蠭	ꝑyog
蜂	ꝑyog
𧒒	ꝑyog
蘴	ꝑyog
桻	ꝑyog
㷭	ꝑyog
烽	ꝑyog
莑	ꝑyog
仹	ꝑyog
㸼	ꝑyog
縱	țyog
𣯨	țyog
蹤	țyog
䡮	țyog
樅	țyog
磫	țyog
豵	țyog
熧	țyog
𧺣	țyog
茸	nyog
䩸	nyog
髶	nyog
䇯	nyog
襛	nyog
穠	nyog
搑	nyog
𥎂	nyog
榵	nyog
穁	nyog
蛩	cyog
邛	cyog
舼	cyog
𦨰	cyog
筇	cyog
輁	cyog
𦭭	cyog
𥳎	cyog
䂬	cyog
蛬	cyog
𠌖	cyog
𩬰	cyog
桏	cyog
䅃	cyog
𤤶	cyog
𩢽	cyog
鱅	dyog
慵	dyog
𩌨	dyog
恭	kyog
龔	kyog
供	kyog
珙	kyog
䢼	kyog
共	kyog
𤱨	kyog
廾	kyog
髸	kyog
䳍	kyog
蜙	syog
淞	syog
凇	syog
鬆	syog
倯	syog
𢔋	syog
樅	ṯyog
鏦	ṯyog
從	ṯyog
暰	ṯyog
䗥	ṯyog
瑽	ṯyog
摐	ṯyog
䐫	ṯyog
𥡬	ṯyog
𧺣	ṯyog
鬆	ṯyog
𨑪	ṯyog
銎	ꝁyog
𥳎	ꝁyog
江	krog
扛	krog
杠	krog
茳	krog
釭	krog
矼	krog
豇	krog
肛	krog
玒	krog
𧢸	krog
䜫	krog
厖	mrog
駹	mrog
狵	mrog
尨	mrog
浝	mrog
哤	mrog
牻	mrog
娏	mrog
䵨	mrog
㟌	mrog
蛖	mrog
𥆙	mrog
痝	mrog
𠈵	mrog
𦗳	nrog
𣰊	nrog
涳	nrog
噥	nrog
𩟊	nrog
鬞	nrog
䁸	nrog
𪆯	nrog
囪	ṯrog
䆫	ṯrog
牎	ṯrog
窓	ṯrog
䎫	ṯrog
堫	ṯrog
摐	ṯrog
鏦	ṯrog
𥍷	ṯrog
邦	prog
𤰫	prog
梆	prog
垹	prog
栙	hrog
䜶	hrog
降	hrog
缸	hrog
缻	hrog
洚	hrog
夅	hrog
跭	hrog
胮	ꝑrog
𤵸	ꝑrog
𩐨	ꝑrog
𪔔	ꝑrog
𪐿	ꝑrog
瀧	lrog
䮾	lrog
雙	srog
艭	srog
䉶	srog
𢥠	srog
䝄	srog
瀧	srog
𨇯	srog
