hani	latn
洭	ꝁyag
軭	ꝁyag
眶	ꝁyag
䒰	ꝁyag
𩢼	ꝁyag
王	hyag
蚟	hyag
𩵭	hyag
彺	hyag
央	qiag
鴦	qiag
殃	qiag
䄃	qiag
鉠	qiag
秧	qiag
霙	qiag
胦	qiag
泱	qiag
強	ciag
彊	ciag
䲔	ciag
勥	ciag
𦳝	ŧriag
倀	ŧriag
鼚	ŧriag
芳	ꝑyag
妨	ꝑyag
淓	ꝑyag
狂	cyag
軖	cyag
軭	cyag
鵟	cyag
㞷	cyag
唐	dag
啺	dag
𥏬	dag
煻	dag
糖	dag
糛	dag
堂	dag
坣	dag
𪕹	dag
棠	dag
搪	dag
蓎	dag
瑭	dag
餹	dag
篖	dag
螗	dag
𤚫	dag
𤛋	dag
螳	dag
塘	dag
碭	dag
鶶	dag
𩹶	dag
踼	dag
闛	dag
赯	dag
磄	dag
溏	dag
䣘	dag
傏	dag
隚	dag
䧜	dag
𨶈	dag
鎕	dag
䉎	dag
𨍴	dag
橖	dag
榶	dag
㲥	dag
㼺	dag
郎	lag
蓈	lag
稂	lag
桹	lag
廊	lag
榔	lag
鋃	lag
硠	lag
𪁜	lag
浪	lag
䯖	lag
蜋	lag
𩷕	lag
琅	lag
瑯	lag
㝗	lag
狼	lag
欴	lag
𦵧	lag
踉	lag
莨	lag
㟍	lag
䡙	lag
艆	lag
駺	lag
躴	lag
筤	lag
𥍫	lag
閬	lag
哴	lag
當	tag
鐺	tag
簹	tag
襠	tag
璫	tag
𨎴	tag
檔	tag
儅	tag
𦡁	tag
㼕	tag
蟷	tag
倉	ṯag
蒼	ṯag
鶬	ṯag
𩀞	ṯag
滄	ṯag
凔	ṯag
𠥐	ṯag
岡	kag
崗	kag
剛	kag
㓻	kag
掆	kag
笐	kag
鋼	kag
綱	kag
亢	kag
犅	kag
堈	kag
𤭛	kag
牨	kag
苀	kag
魧	kag
迒	kag
桑	sag
桒	sag
𠸶	sag
喪	sag
𦅇	sag
𩦌	sag
康	ꝁag
穅	ꝁag
糠	ꝁag
㱂	ꝁag
㝩	ꝁag
槺	ꝁag
𨻷	ꝁag
䗧	ꝁag
𥉽	ꝁag
邟	ꝁag
漮	ꝁag
𤮊	ꝁag
㼹	ꝁag
躿	ꝁag
荒	xuag
𥡃	xuag
肓	xuag
衁	xuag
𩣐	xuag
鄺	xuag
𥿼	xuag
㠵	xuag
𧧢	xuag
䀮	xuag
𣆖	xuag
㡆	xuag
巟	xuag
𣺬	xuag
黃	huag
皇	huag
璜	huag
惶	huag
遑	huag
潢	huag
堭	huag
煌	huag
餭	huag
騜	huag
艎	huag
簧	huag
隍	huag
癀	huag
𨝴	huag
湟	huag
徨	huag
篁	huag
鱑	huag
蝗	huag
凰	huag
偟	huag
媓	huag
獚	huag
蟥	huag
韹	huag
𨜔	huag
䍿	huag
䅣	huag
𤯷	huag
葟	huag
趪	huag
光	kuag
灮	kuag
洸	kuag
桄	kuag
胱	kuag
垙	kuag
𨎩	kuag
輄	kuag
橫	kuag
𩧉	kuag
恍	kuag
茪	kuag
僙	kuag
侊	kuag
湯	ŧag
簜	ŧag
鏜	ŧag
闛	ŧag
𧼮	ŧag
踼	ŧag
盪	ŧag
蝪	ŧag
鼞	ŧag
薚	ŧag
𦳝	ŧag
滂	ꝑag
鎊	ꝑag
霶	ꝑag
雱	ꝑag
䨦	ꝑag
磅	ꝑag
𣂆	ꝑag
汪	quag
尣	quag
尪	quag
洸	quag
𪁘	quag
鴦	qag
佒	qag
咉	qag
𧲱	qag
㹧	qag
眏	qag
姎	qag
炕	xag
㰠	xag
䐠	xag
忼	xag
航	hag
筕	hag
桁	hag
行	hag
迒	hag
𨁈	hag
頏	hag
𦐄	hag
魧	hag
胻	hag
邟	hag
杭	hag
沆	hag
蚢	hag
肮	hag
苀	hag
抗	hag
吭	hag
茫	mag
吂	mag
䀮	mag
汒	mag
恾	mag
忙	mag
朚	mag
邙	mag
芒	mag
𥐞	mag
杗	mag
蘉	mag
𡩩	mag
𨛌	mag
臧	țag
匨	țag
䍧	țag
戕	țag
贓	țag
样	țag
囊	nag
蠰	nag
傍	bag
彷	bag
膀	bag
髈	bag
䠙	bag
趽	bag
房	bag
旁	bag
篣	bag
𨜷	bag
螃	bag
䅭	bag
騯	bag
卬	gag
䭹	gag
枊	gag
昂	gag
䒢	gag
㭿	gag
䩕	gag
藏	d̦ag
䯑	ꝁuag
幫	pag
縍	pag
㨍	pag
𨢐	pag
鞤	pag
庚	krag
鶊	krag
更	krag
䢚	krag
秔	krag
稉	krag
粳	krag
賡	krag
羹	krag
𩱧	krag
埂	krag
浭	krag
阬	ꝁrag
坑	ꝁrag
硎	ꝁrag
𥉸	ꝁrag
砊	ꝁrag
劥	ꝁrag
盲	mrag
蝱	mrag
鄳	mrag
𥋝	mrag
莔	mrag
𨞚	mrag
䥰	mrag
𥭮	mrag
橫	hruag
黌	hruag
蝗	hruag
鐄	hruag
瑝	hruag
喤	hruag
鍠	hruag
䬝	hruag
㶇	hruag
䄓	hruag
𧝒	hruag
𤮏	hruag
𪏓	hruag
𢘌	hruag
韹	hruag
彋	hruag
閍	prag
祊	prag
𥛱	prag
騯	prag
嗙	prag
㔙	prag
諻	xruag
䎕	xruag
謍	xruag
嚝	xruag
喤	xruag
觵	kruag
觥	kruag
侊	kruag
𩃙	kruag
䍔	kruag
𣘯	kruag
彭	brag
澎	brag
膨	brag
蟚	brag
䰃	brag
棚	brag
榜	brag
䄘	brag
搒	brag
蒡	brag
篣	brag
𩡕	brag
騯	brag
憉	brag
𣂆	brag
輣	brag
𨍩	brag
脝	xrag
悙	xrag
亨	xrag
瞠	ŧrag
橕	ŧrag
樘	ŧrag
䟓	ŧrag
竀	ŧrag
鎗	ṯrag
鐺	ṯrag
槍	ṯrag
琤	ṯrag
傖	d̦rag
䚘	d̦rag
𩫿	d̦rag
鬇	d̦rag
崢	d̦rag
霙	qrieg
鉠	qrieg
韺	qrieg
渶	qrieg
鶧	qrieg
英	qrieg
瑛	qrieg
㿮	qrieg
媖	qrieg
楧	qrieg
磅	ꝑrag
恲	ꝑrag
亨	ꝑrag
澎	ꝑrag
平	brieg
評	brieg
苹	brieg
枰	brieg
泙	brieg
坪	brieg
胓	brieg
蚲	brieg
驚	krieg
京	krieg
荆	krieg
麠	krieg
麖	krieg
鶁	krieg
蟼	krieg
明	mrieg
盟	mrieg
𥁰	mrieg
䳟	mrieg
鳴	mrieg
棖	drag
盯	drag
澄	drag
掁	drag
䟫	drag
挰	drag
憕	drag
趟	trag
𩘽	trag
榮	hryeg
禜	hryeg
蠑	hryeg
瑩	hryeg
揘	hryeg
嶸	hryeg
兵	prieg
兄	xryeg
卿	ꝁrieg
生	srieg
笙	srieg
牲	srieg
猩	srieg
狌	srieg
鉎	srieg
甥	srieg
䴤	srieg
鼪	srieg
珄	srieg
擎	crieg
勍	crieg
黥	crieg
䵞	crieg
剠	crieg
䲔	crieg
鯨	crieg
檠	crieg
樈	crieg
葝	crieg
䫆	crieg
迎	grieg
行	hrag
衡	hrag
䯒	hrag
胻	hrag
洐	hrag
筕	hrag
珩	hrag
桁	hrag
蘅	hrag
𦣍	hrag
鬤	nrag
㲰	nrag
𠽽	nrag
獰	nrag
𥣗	nrag
𧂘	nrag
耕	kreg
鏗	ꝁreg
銵	ꝁreg
䡰	ꝁreg
鳽	ꝁreg
誙	ꝁreg
牼	ꝁreg
𡷨	ꝁreg
硻	ꝁreg
殸	ꝁreg
㧶	ꝁreg
䡩	ꝁreg
硜	ꝁreg
摼	ꝁreg
㰢	ꝁreg
羥	ꝁreg
甍	mreg
𣞑	mreg
䉚	mreg
萌	mreg
氓	mreg
甿	mreg
嫇	mreg
蕄	mreg
𥋝	mreg
𧂛	mreg
𥌯	mreg
浜	preg
捠	preg
宏	hrueg
紘	hrueg
紭	hrueg
閎	hrueg
嶸	hrueg
嵤	hrueg
𧮯	hrueg
耾	hrueg
翃	hrueg
浤	hrueg
竑	hrueg
宖	hrueg
鈜	hrueg
吰	hrueg
𥐪	hrueg
彋	hrueg
莖	hreg
䪫	hreg
牼	hreg
朾	treg
丁	treg
玎	treg
𠑅	treg
𧯫	treg
䟓	treg
䆸	treg
甖	qreg
罌	qreg
罃	qreg
鶯	qreg
嚶	qreg
櫻	qreg
嫈	qreg
鸚	qreg
譻	qreg
鸎	qreg
褮	qreg
𠠜	qreg
莖	qreg
崢	d̦reg
𦱊	d̦reg
鬇	d̦reg
埩	d̦reg
鏳	d̦reg
崝	d̦reg
琤	ṯreg
錚	ṯreg
凈	ṯreg
棦	ṯreg
噌	ṯreg
儜	nreg
薴	nreg
鬡	nreg
𧭈	nreg
鑏	nreg
䭢	nreg
嬣	nreg
怦	ꝑreg
姘	ꝑreg
閛	ꝑreg
𤘾	ꝑreg
伻	ꝑreg
弸	ꝑreg
䍬	ꝑreg
㛁	ꝑreg
匉	ꝑreg
抨	ꝑreg
砰	ꝑreg
轟	xrueg
輷	xrueg
䎕	xrueg
揈	xrueg
訇	xrueg
鍧	xrueg
渹	xrueg
𦑟	xrueg
𥕗	xrueg
𢝁	xrueg
繃	preg
絣	preg
𢆸	preg
拼	preg
䑫	preg
橙	dreg
揨	dreg
𢾊	dreg
𢿦	dreg
湞	dreg
朾	dreg
虰	dreg
憕	dreg
瞪	dreg
䆵	dreg
䁎	dreg
䆑	dreg
泓	qrueg
謍	qrueg
宖	qrueg
𨳮	qrueg
輣	breg
棚	breg
弸	breg
㥊	breg
庄	breg
娙	greg
俓	greg
爭	țreg
箏	țreg
埩	țreg
綪	țreg
䋫	țreg
猙	țreg
䱢	țreg
清	ṯieg
圊	ṯieg
情	d̦ieg
晴	d̦ieg
請	d̦ieg
夝	d̦ieg
䝼	d̦ieg
精	țieg
氏	țieg
菁	țieg
鶄	țieg
蜻	țieg
晶	țieg
鼱	țieg
婧	țieg
睛	țieg
𣻒	țieg
旌	țieg
旍	țieg
箐	țieg
𩓨	țieg
聙	țieg
盈	jieg
嬴	jieg
㜲	jieg
瀛	jieg
籝	jieg
楹	jieg
贏	jieg
𤟣	jieg
䕦	jieg
𨜏	jieg
𦝚	jieg
攍	jieg
營	jyeg
鎣	jyeg
塋	jyeg
䁝	jyeg
濴	jyeg
謍	jyeg
嬰	qieg
瓔	qieg
纓	qieg
攖	qieg
𨟙	qieg
賏	qieg
蘡	qieg
貞	trieg
楨	trieg
禎	trieg
𨜓	trieg
湞	trieg
𨺟	trieg
檉	ŧrieg
偵	ŧrieg
赬	ŧrieg
䞓	ŧrieg
䟓	ŧrieg
竀	ŧrieg
蟶	ŧrieg
虰	ŧrieg
成	dieg
𢦩	dieg
城	dieg
誠	dieg
宬	dieg
郕	dieg
筬	dieg
盛	dieg
珹	dieg
䫆	dieg
呈	drieg
程	drieg
酲	drieg
𨜓	drieg
珵	drieg
䇸	drieg
裎	drieg
聲	šieg
征	tieg
延	tieg
鯖	tieg
𨢹	tieg
𦙫	tieg
鉦	tieg
怔	tieg
正	tieg
鴊	tieg
䋊	tieg
眐	tieg
𧘿	tieg
佂	tieg
輕	ꝁieg
𨆪	ꝁieg
鑋	ꝁieg
名	mieg
洺	mieg
跉	lieg
令	lieg
并	pieg
栟	pieg
箳	pieg
屏	pieg
傾	ꝁyeg
頃	ꝁyeg
𩛿	zieg
縈	qyeg
褮	qyeg
嫈	qyeg
䪯	qyeg
𢄋	qyeg
瓊	cyeg
璚	cyeg
煢	cyeg
焭	cyeg
睘	cyeg
惸	cyeg
𢶇	cyeg
藑	cyeg
嬛	cyeg
𡞦	cyeg
赹	cyeg
憌	cyeg
𢗋	cyeg
𦽓	cyeg
𦾵	cyeg
𨍶	cyeg
㒌	cyeg
騂	syeg
𤙡	syeg
垶	syeg
觪	syeg
頸	cieg
𩷏	cieg
葝	cieg
𦳲	cieg
𧵣	xyeg
靑	ṯeg
鶄	ṯeg
鯖	ṯeg
蜻	ṯeg
靘	ṯeg
經	keg
涇	keg
頸	keg
巠	keg
㓝	heg
刑	heg
形	heg
邢	heg
𤬐	heg
䣆	heg
桯	heg
鉶	heg
型	heg
陘	heg
侀	heg
硎	heg
娙	heg
鈃	heg
㼛	heg
𤭓	heg
鋞	heg
庭	deg
停	deg
鼮	deg
莛	deg
葶	deg
筳	deg
亭	deg
聤	deg
霆	deg
渟	deg
𩹇	deg
綎	deg
娗	deg
㼗	deg
𧖧	deg
挺	deg
楟	deg
蜓	deg
廷	deg
㹶	deg
𧓴	deg
丁	teg
釘	teg
玎	teg
䦺	teg
靪	teg
虰	teg
仃	teg
叮	teg
馨	xeg
𠷓	xeg
蛵	xeg
星	seg
曐	seg
腥	seg
胜	seg
鮏	seg
鯹	seg
𥠀	seg
醒	seg
鉎	seg
篂	seg
猩	seg
惺	seg
竮	ꝑeg
俜	ꝑeg
甹	ꝑeg
𢖊	ꝑeg
艵	ꝑeg
頩	ꝑeg
姘	ꝑeg
覮	ꝑeg
靈	leg
霛	leg
𩄀	leg
𩆜	leg
舲	leg
齡	leg
麢	leg
𦏰	leg
囹	leg
鴒	leg
䉁	leg
蛉	leg
鈴	leg
霝	leg
醽	leg
苓	leg
櫺	leg
柃	leg
𩆚	leg
伶	leg
泠	leg
瓴	leg
𧕅	leg
拎	leg
刢	leg
𧆺	leg
𤣘	leg
𤫲	leg
玲	leg
𦉢	leg
𩖊	leg
㾉	leg
聆	leg
竛	leg
𠄖	leg
蘦	leg
軨	leg
䡼	leg
笭	leg
零	leg
孁	leg
令	leg
𪕌	leg
灵	leg
𩟃	leg
𩵀	leg
龗	leg
翎	leg
閝	leg
鹷	leg
䴇	leg
昤	leg
駖	leg
𧖜	leg
𩆮	leg
蕶	leg
酃	leg
詅	leg
彾	leg
䯍	leg
呤	leg
跉	leg
狑	leg
𤣤	leg
爧	leg
冷	leg
怜	leg
𠱠	leg
𦫊	leg
𢺰	leg
澪	leg
鏻	leg
𥤞	leg
秢	leg
䕘	leg
獜	leg
岭	leg
魿	leg
𣬹	leg
𩚹	leg
紷	leg
䉹	leg
砱	leg
阾	leg
羚	leg
姈	leg
㸳	leg
寧	neg
寍	neg
鸋	neg
䆨	neg
𣍆	neg
𨛲	neg
𧕝	neg
嚀	neg
聹	neg
汀	ŧeg
訂	ŧeg
桯	ŧeg
綎	ŧeg
聽	ŧeg
廳	ŧeg
町	ŧeg
艼	ŧeg
𦉬	ŧeg
䩠	ŧeg
鞓	ŧeg
䋼	ŧeg
𦀚	ŧeg
庁	ŧeg
冥	meg
榠	meg
銘	meg
鄍	meg
溟	meg
䫤	meg
螟	meg
𧱴	meg
猽	meg
蓂	meg
瞑	meg
𥹆	meg
嫇	meg
覭	meg
暝	meg
瓶	beg
缾	beg
蛢	beg
䶄	beg
屏	beg
荓	beg
䈂	beg
軿	beg
萍	beg
蓱	beg
竮	beg
郱	beg
畊	beg
洴	beg
箳	beg
熒	hueg
褮	hueg
螢	hueg
滎	hueg
䁝	hueg
𧵣	hueg
扃	kueg
駉	kueg
駫	kueg
坰	kueg
冋	kueg
𪕍	kueg
絅	kueg
𣕄	kueg
蒸	tivg
䒱	tivg
烝	tivg
𦚦	tivg
䕄	tivg
篜	tivg
脀	tivg
承	divg
丞	divg
𨋬	divg
澂	drivg
澄	drivg
瞪	drivg
憕	drivg
懲	drivg
陵	livg
淩	livg
夌	livg
綾	livg
凌	livg
𠗲	livg
蔆	livg
菱	livg
䔖	livg
㥄	livg
鯪	livg
崚	livg
㱥	livg
𡕮	livg
𩜁	livg
掕	livg
祾	livg
𣣋	livg
膺	qivg
應	qivg
𧕄	qivg
鷹	qivg
凭	bryvg
馮	bryvg
憑	bryvg
淜	bryvg
㵗	bryvg
冫	pryvg
冰	pryvg
掤	pryvg
蠅	jivg
繩	živg
譝	živg
憴	živg
鱦	živg
乗	živg
椉	živg
𠅞	živg
澠	živg
溗	živg
塍	živg
塖	živg
騬	živg
升	šivg
昇	šivg
陞	šivg
勝	šivg
抍	šivg
仍	nivg
艿	nivg
䚮	nivg
辸	nivg
礽	nivg
扔	nivg
㭁	nivg
兢	kivg
矜	kivg
徵	trivg
𨟃	trivg
癥	trivg
𣃘	trivg
繒	d̦ivg
鄫	d̦ivg
驓	d̦ivg
橧	d̦ivg
竲	d̦ivg
嶒	d̦ivg
凝	givg
興	xivg
𨞾	xivg
稱	ŧivg
爯	ŧivg
偁	ŧivg
殑	civg
䔷	civg
㱡	srivg
硱	ꝁivg
僜	ŧrivg
庱	ŧrivg
睖	ŧrivg
磳	d̦rivg
砯	ꝑryvg
登	tvg
璒	tvg
燈	tvg
簦	tvg
㲪	tvg
䔲	tvg
㽅	tvg
䳾	tvg
楞	lvg
棱	lvg
稜	lvg
輘	lvg
倰	lvg
祾	lvg
僧	svg
鬙	svg
䒏	svg
崩	pvg
增	țvg
憎	țvg
磳	țvg
曾	țvg
矰	țvg
罾	țvg
熷	țvg
䎖	țvg
竲	țvg
橧	țvg
譄	țvg
𦼏	țvg
瞢	mvg
蕄	mvg
䒐	mvg
層	d̦vg
曾	d̦vg
䁬	d̦vg
朋	bvg
堋	bvg
鵬	bvg
棚	bvg
倗	bvg
鬅	bvg
弘	huvg
鞃	huvg
苰	huvg
肱	kuvg
𩉦	kuvg
薨	xuvg
𠐿	xuvg
𩖉	xuvg
𩙛	xuvg
𤃫	xuvg
能	nvg
騰	dvg
滕	dvg
縢	dvg
幐	dvg
螣	dvg
藤	dvg
謄	dvg
𧈜	dvg
儯	dvg
𤻴	dvg
鰧	dvg
𥉋	dvg
恒	hvg
𢛢	hvg
峘	hvg
搄	kvg
縆	kvg
絙	kvg
鼟	ŧvg
膯	ŧvg
𤃶	ŧvg
𧰥	ŧvg
漰	ꝑvg
堋	ꝑvg
尤	hyu
𣏞	hyu
腄	hyu
疣	hyu
肬	hyu
𪐤	hyu
沋	hyu
郵	hyu
訧	hyu
憂	qyu
優	qyu
瀀	qyu
𢕶	qyu
麀	qyu
𪋎	qyu
櫌	qyu
鄾	qyu
𢆶	qyu
怮	qyu
嚘	qyu
耰	qyu
獶	qyu
𧀥	qyu
纋	qyu
㱊	qyu
妋	qyu
劉	lyu
留	lyu
蒥	lyu
勠	lyu
摎	lyu
鶹	lyu
騮	lyu
駵	lyu
疁	lyu
𥹷	lyu
流	lyu
㳅	lyu
飂	lyu
飀	lyu
瘤	lyu
榴	lyu
瑬	lyu
旒	lyu
瑠	lyu
𪕚	lyu
𤠑	lyu
䉧	lyu
𥰣	lyu
瀏	lyu
䬟	lyu
䱖	lyu
鰡	lyu
嵧	lyu
𣠚	lyu
鎦	lyu
𦃓	lyu
𢷶	lyu
𨶪	lyu
懰	lyu
餾	lyu
䖻	lyu
裗	lyu
𪆱	lyu
𪎣	lyu
硫	lyu
遛	lyu
䚧	lyu
憀	lyu
鏐	lyu
秋	ṯyu
秌	ṯyu
鞧	ṯyu
緧	ṯyu
𦃈	ṯyu
鞦	ṯyu
湫	ṯyu
鶖	ṯyu
鰍	ṯyu
楸	ṯyu
萩	ṯyu
𪓰	ṯyu
䵸	ṯyu
蟗	ṯyu
䨂	ṯyu
篍	ṯyu
趥	ṯyu
猷	jyu
猶	jyu
悠	jyu
油	jyu
由	jyu
攸	jyu
蕕	jyu
浟	jyu
𠧷	jyu
𢋅	jyu
冘	jyu
邎	jyu
輶	jyu
蘨	jyu
秞	jyu
蚰	jyu
蝣	jyu
櫾	jyu
楢	jyu
𦳷	jyu
斿	jyu
游	jyu
遊	jyu
𨒰	jyu
卣	jyu
䚻	jyu
鮋	jyu
䱔	jyu
抌	jyu
揄	jyu
舀	jyu
偤	jyu
䍃	jyu
𤪎	jyu
邮	jyu
繇	jyu
㳛	jyu
㾞	jyu
囮	jyu
㘥	jyu
庮	jyu
甹	jyu
𣔴	jyu
𧡹	jyu
𦵵	jyu
牛	gyu
遒	țyu
鮂	țyu
䎿	țyu
蝤	țyu
啾	țyu
逎	țyu
𩭓	țyu
揂	țyu
揫	țyu
湫	țyu
𣟼	țyu
酋	d̦yu
㥢	d̦yu
遒	d̦yu
䎿	d̦yu
崷	d̦yu
鰌	d̦yu
蝤	d̦yu
煪	d̦yu
𧤕	d̦yu
𦵩	d̦yu
脩	syu
修	syu
羞	syu
𩛢	syu
𩝧	syu
䡭	syu
樇	syu
抽	ŧryu
𢭆	ŧryu
㨨	ŧryu
婤	ŧryu
𥈌	ŧryu
惆	ŧryu
瘳	ŧryu
妯	ŧryu
恘	ꝁyu
惆	ꝁyu
㲃	ꝁyu
犫	ŧyu
犨	ŧyu
周	tyu
州	tyu
𥺝	tyu
輖	tyu
洲	tyu
賙	tyu
喌	tyu
舟	tyu
郮	tyu
婤	tyu
讎	dyu
𣫐	dyu
𣀓	dyu
鮋	dyu
酬	dyu
醻	dyu
詶	dyu
雔	dyu
魗	dyu
𨞪	dyu
柔	nyu
鍒	nyu
㽥	nyu
騥	nyu
蝚	nyu
蹂	nyu
葇	nyu
鞣	nyu
鰇	nyu
瑈	nyu
腬	nyu
鶔	nyu
揉	nyu
䰆	nyu
𨛶	nyu
䐓	nyu
收	šyu
丘	ꝁyu
丠	ꝁyu
蓲	ꝁyu
蚯	ꝁyu
邱	ꝁyu
訄	ꝁyu
䬌	ꝑyu
秠	ꝑyu
𡫺	ꝑyu
衃	ꝑyu
肧	ꝑyu
紑	ꝑyu
醅	ꝑyu
鳩	kyu
𦫶	kyu
𠠳	kyu
朻	kyu
䡂	kyu
㽱	kyu
𨷺	kyu
丩	kyu
龜	kyu
勼	kyu
不	pyu
哹	pyu
紑	pyu
䍍	pyu
鴀	pyu
𢯱	sryu
捜	sryu
𩜯	sryu
䬒	sryu
𣸈	sryu
䤹	sryu
廋	sryu
蒐	sryu
𦺋	sryu
獀	sryu
䐹	sryu
𨜛	sryu
䗏	sryu
䮟	sryu
犙	sryu
䤇	sryu
𧼭	sryu
搊	ṯryu
𢬆	ṯryu
篘	ṯryu
醔	ṯryu
㮲	ṯryu
𥻤	ṯryu
謅	ṯryu
鄒	țryu
鄹	țryu
郰	țryu
騶	țryu
齱	țryu
陬	țryu
緅	țryu
䑼	țryu
𨃘	țryu
菆	țryu
棷	țryu
箃	țryu
𠿈	țryu
黀	țryu
愁	d̦ryu
㵞	d̦ryu
休	xyu
貅	xyu
㹯	xyu
鵂	xyu
𩢮	xyu
㾋	xyu
庥	xyu
脙	xyu
𦜵	xyu
髤	xyu
䰍	xyu
咻	xyu
㵻	xyu
囚	zyu
泅	zyu
汓	zyu
苬	zyu
慒	zyu
鮂	zyu
儔	dryu
檮	dryu
躊	dryu
幬	dryu
𢃖	dryu
裯	dryu
𠷎	dryu
疇	dryu
紬	dryu
綢	dryu
稠	dryu
燽	dryu
薵	dryu
鯈	dryu
籌	dryu
𪆇	dryu
𪇘	dryu
棸	dryu
椆	dryu
怞	dryu
𦡴	dryu
懤	dryu
鮋	dryu
䬞	dryu
菗	dryu
𨞪	dryu
𢤉	dryu
輈	tryu
盩	tryu
啁	tryu
譸	tryu
侜	tryu
𩢸	tryu
調	tryu
咮	tryu
𧻖	tryu
𥎻	tryu
矪	tryu
𧚍	cyu
裘	cyu
仇	cyu
叴	cyu
厹	cyu
求	cyu
𡨃	cyu
頄	cyu
蛷	cyu
𧒔	cyu
逑	cyu
球	cyu
璆	cyu
艽	cyu
鼽	cyu
莍	cyu
䣇	cyu
賕	cyu
殏	cyu
梂	cyu
朹	cyu
㭝	cyu
俅	cyu
脙	cyu
𦜵	cyu
馗	cyu
䊵	cyu
絿	cyu
䜪	cyu
扏	cyu
銶	cyu
𩒮	cyu
𥭑	cyu
毬	cyu
䟵	cyu
犰	cyu
𧻱	cyu
訅	cyu
釚	cyu
捄	cyu
肍	cyu
𢛃	cyu
𦬖	cyu
訄	cyu
浮	byu
哹	byu
桴	byu
枹	byu
𥰛	byu
罦	byu
䍖	byu
琈	byu
粰	byu
䳕	byu
罘	byu
䱐	byu
涪	byu
芣	byu
蜉	byu
烰	byu
鉜	byu
𡦄	byu
𢀼	byu
艀	byu
棓	byu
掊	byu
䍌	byu
䨗	byu
謀	myu
䱕	myu
雺	myu
眸	myu
牟	myu
侔	myu
矛	myu
𢦵	myu
鍪	myu
鞪	myu
麰	myu
𦭷	myu
堥	myu
劺	myu
𨡭	myu
蝥	myu
蟊	myu
鷚	myu
𩭾	myu
䋷	myu
恈	myu
鴾	myu
蛑	myu
繆	myu
侯	hu
矦	hu
𥎦	hu
帿	hu
鄇	hu
䫛	hu
鍭	hu
銗	hu
猴	hu
糇	hu
翭	hu
翵	hu
餱	hu
喉	hu
篌	hu
鯸	hu
㮢	hu
𧮶	hu
瘊	hu
䗔	hu
葔	hu
骺	hu
睺	hu
䙈	hu
謳	qu
嘔	qu
歐	qu
甌	qu
區	qu
漚	qu
鷗	qu
䁱	qu
瞘	qu
櫙	qu
蓲	qu
醧	qu
剾	qu
䙔	qu
鏂	qu
膒	qu
羺	nu
獳	nu
䨲	nu
䰰	nu
樓	lu
婁	lu
䣚	lu
𨻻	lu
𧁾	lu
蔞	lu
𠞭	lu
䝏	lu
𦎹	lu
僂	lu
艛	lu
耬	lu
髏	lu
膢	lu
𤬏	lu
廔	lu
剅	lu
摟	lu
嘍	lu
瞜	lu
螻	lu
簍	lu
鞻	lu
慺	lu
鷜	lu
䱾	lu
褸	lu
遱	lu
謱	lu
涑	su
鏉	su
䩳	su
𩌱	su
𩮶	su
摗	su
𠘂	su
𡠼	su
彄	ꝁu
摳	ꝁu
剾	ꝁu
韝	ꝁu
𢂁	ꝁu
滱	ꝁu
夠	ꝁu
䁱	ꝁu
齁	xu
𪅺	xu
𣠏	țu
緅	țu
陬	țu
棷	țu
掫	țu
偷	ŧu
鍮	ŧu
鋀	ŧu
媮	ŧu
頭	du
㓱	du
投	du
𪎨	du
骰	du
𣪌	du
坄	du
牏	du
䤅	du
㢏	du
揄	du
窬	du
緰	du
歈	du
𪁞	du
齵	gu
鉤	ku
𠛎	ku
溝	ku
褠	ku
韝	ku
緱	ku
篝	ku
𥴴	ku
𪓟	ku
㗕	ku
𤫱	ku
䑦	ku
冓	ku
枸	ku
句	ku
軥	ku
夠	ku
鴝	ku
兠	tu
侸	tu
吺	tu
篼	tu
𥆖	tu
剅	tu
𧢗	tu
𧯠	tu
郖	tu
𩮷	tu
㔌	d̦u
鯫	d̦u
裒	bu
䯽	bu
捊	bu
抔	bu
掊	bu
䏽	bu
𩚭	bu
䍌	bu
箁	bu
䜅	ṯu
呣	mu
幽	qiu
泑	qriu
呦	qriu
𣢜	qriu
𧍘	qriu
怮	qriu
𢆶	qiu
虯	criu
觩	criu
璆	criu
觓	criu
鷚	criu
蟉	criu
𤙠	criu
彪	priu
髟	piu
驫	piu
鏐	liu
蟉	liu
樛	kriu
𠃚	kiu
𦭺	kiu
朻	kriu
㽱	kriu
淲	briu
瀌	briu
𩖛	briu
稵	țiu
犙	sriu
聱	giu
飍	xiu
烋	xriu
繆	mriu
鷚	mriu
䋷	miu
侵	ṯim
𢔀	ṯim
駸	ṯim
浸	ṯim
䜷	ṯim
𥍯	ṯim
綅	ṯim
尋	zim
𢒫	zim
鐔	zim
潯	zim
鱏	zim
樳	zim
鄩	zim
𨼔	zim
𦠅	zim
𩖣	zim
襑	zim
枔	zim
撏	zim
灊	zim
鬵	zim
𦅀	zim
林	lim
琳	lim
淋	lim
臨	lim
痳	lim
箖	lim
瀶	lim
霖	lim
琛	ŧrim
棽	ŧrim
䑣	ŧrim
𥉨	ŧrim
綝	ŧrim
郴	ŧrim
賝	ŧrim
斟	tim
針	tim
鍼	tim
𪈁	tim
箴	tim
葴	tim
瑊	tim
鱵	tim
㘰	tim
沈	drim
沉	drim
𤘣	drim
莐	drim
䒞	drim
霃	drim
湛	drim
枕	drim
鈂	drim
碪	trim
砧	trim
椹	trim
枮	trim
坫	trim
